Strategy,Date Opened,Time Opened,Opening Price,Legs,Initial Premium,No. of Contracts,P/L,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close
Charle Bronson RIC ,12/5/2025,9:32:00,6876.46,1 Dec 5 6900 C BTO 3.70 | 1 Dec 5 6830 P BTO 4.25 | 1 Dec 5 6905 C STO 2.55 | 1 Dec 5 6825 P STO 3.65,-185,1,-190,6870.4,12/5/2025,16:00:00,0,Expired
Charle Bronson RIC ,12/4/2025,9:32:00,6862.2,1 Dec 4 6885 C BTO 3.95 | 1 Dec 4 6830 P BTO 4.45 | 1 Dec 4 6890 C STO 2.75 | 1 Dec 4 6825 P STO 3.75,-200,1,-205,6857.12,12/4/2025,16:00:00,0,Expired
Early Morning Fishing,12/3/2025,10:35:00,6839.51,1 Dec 3 6830 P STO 9.25 | 1 Dec 3 6825 P BTO 7.70,150,1,147.76,6849.72,12/3/2025,16:00:00,0,Expired
Early Morning Fishing,12/2/2025,10:51:00,6848.87,1 Dec 2 6840 P STO 7.40 | 1 Dec 2 6835 P BTO 5.95,140,1,-362.24,6829.37,12/2/2025,16:00:00,500,Expired
Charle Bronson RIC ,12/2/2025,9:32:00,6834.5,1 Dec 2 6860 C BTO 3.70 | 1 Dec 2 6800 P BTO 4.40 | 1 Dec 2 6865 C STO 2.70 | 1 Dec 2 6795 P STO 3.70,-180,1,-185,6829.37,12/2/2025,16:00:00,0,Expired
SAC 2/4,12/1/2025,15:45:00,617.58,1 Dec 3 610 P STO 1.09 | 1 Dec 3 624 C STO 0.85 | 1 Dec 5 610 P BTO 2.25 | 1 Dec 5 624 C BTO 2.13,-246,1,66,624.15,12/3/2025,15:30:00,-316,Exited at Specified Time
Early Morning Fishing,12/1/2025,11:43:00,6833.74,1 Dec 1 6825 P STO 6.30 | 1 Dec 1 6820 P BTO 4.90,135,1,-367.24,6812.63,12/1/2025,16:00:00,500,Expired
In Harm's Way - ORB,11/28/2025,11:15:00,6842.86,1 Nov 28 6840 C BTO 9.10 | 1 Nov 28 6845 C STO 6.45,-285,1,212.5,6849.09,11/28/2025,13:00:00,-500,Expired
Early Morning Fishing,11/28/2025,10:50:00,6838.75,1 Nov 28 6830 P STO 5.70 | 1 Nov 28 6825 P BTO 4.25,140,1,137.76,6849.09,11/28/2025,13:00:00,0,Expired
Early Morning Fishing,11/26/2025,11:05:00,6814.27,1 Nov 26 6805 P STO 6.85 | 1 Nov 26 6800 P BTO 5.55,125,1,122.76,6812.61,11/26/2025,16:00:00,0,Expired
Charle Bronson RIC ,11/26/2025,9:32:00,6795.8,1 Nov 26 6820 C BTO 4.30 | 1 Nov 26 6750 P BTO 4.45 | 1 Nov 26 6825 C STO 3.20 | 1 Nov 26 6745 P STO 4.00,-165,1,-170,6812.61,11/26/2025,16:00:00,0,Expired
Early Morning Fishing,11/25/2025,10:45:00,6718.61,1 Nov 25 6710 P STO 11.30 | 1 Nov 25 6705 P BTO 9.75,150,1,147.76,6765.88,11/25/2025,16:00:00,0,Expired
Charle Bronson RIC ,11/25/2025,9:32:00,6701.09,1 Nov 25 6740 C BTO 4.15 | 1 Nov 25 6640 P BTO 4.25 | 1 Nov 25 6745 C STO 3.15 | 1 Nov 25 6635 P STO 3.80,-155,1,340,6765.88,11/25/2025,16:00:00,-500,Expired
In Harm's Way - ORB,11/24/2025,11:15:00,6695.97,1 Nov 24 6695 C BTO 13.10 | 1 Nov 24 6700 C STO 10.35,-295,1,202.5,6705.12,11/24/2025,16:00:00,-500,Expired
Early Morning Fishing,11/24/2025,10:36:00,6676.35,1 Nov 24 6665 P STO 12.85 | 1 Nov 24 6660 P BTO 11.30,150,1,147.76,6705.12,11/24/2025,16:00:00,0,Expired
Early Morning Fishing,11/21/2025,11:53:00,6602.11,1 Nov 21 6590 P STO 16.90 | 1 Nov 21 6585 P BTO 15.20,165,1,162.76,6602.99,11/21/2025,16:00:00,0,Expired
Early Morning Fishing,11/20/2025,10:38:00,6770.11,1 Nov 20 6760 P STO 11.75 | 1 Nov 20 6755 P BTO 10.35,135,1,-367.24,6538.76,11/20/2025,16:00:00,500,Expired
SAC 2/4,11/17/2025,15:45:00,601.42,1 Nov 19 588 P STO 1.95 | 1 Nov 19 613 C STO 1.53 | 1 Nov 21 588 P BTO 3.92 | 1 Nov 21 613 C BTO 3.53,-399,1,85,600.94,11/19/2025,15:30:00,-488,Exited at Specified Time
SAC 5/7,11/14/2025,15:00:00,611.8,1 Nov 19 624 C STO 1.60 | 1 Nov 19 595 P STO 1.96 | 1 Nov 21 624 C BTO 2.98 | 1 Nov 21 595 P BTO 3.24,-268,1,169,601.36,11/19/2025,15:40:00,-441,Exited at Specified Time
SAC The Longest Day,11/13/2025,12:00:00,610.61,1 Nov 20 585 P STO 1.84 | 1 Nov 20 631 C STO 1.31 | 1 Dec 12 585 P BTO 7.29 | 1 Dec 12 631 C BTO 7.31,-1148,1,531,585.38,11/20/2025,15:48:00,-1683,Exited at Specified Time
SAC 2/4,11/10/2025,15:45:00,623.7,1 Nov 12 615 P STO 1.06 | 1 Nov 12 630 C STO 0.92 | 1 Nov 14 615 P BTO 2.30 | 1 Nov 14 630 C BTO 2.35,-269,1,-4,619.95,11/12/2025,15:19:00,-269,Below Short/Long Ratio
SAC 5/7,11/7/2025,15:00:00,608.51,1 Nov 12 620 C STO 1.47 | 1 Nov 12 595 P STO 2.01 | 1 Nov 14 620 C BTO 2.67 | 1 Nov 14 595 P BTO 3.25,-246,1,95,621.17,11/12/2025,15:33:00,-345,Below Delta
SAC 2/4,11/3/2025,15:45:00,632.01,1 Nov 5 624 P STO 0.96 | 1 Nov 5 638 C STO 0.83 | 1 Nov 7 624 P BTO 2.14 | 1 Nov 7 638 C BTO 2.22,-259,1,-60,620.18,11/4/2025,14:38:00,-203,Above Delta
SAC 5/7,10/31/2025,15:00:00,629.71,1 Nov 5 639 C STO 1.19 | 1 Nov 5 619 P STO 1.62 | 1 Nov 7 639 C BTO 2.33 | 1 Nov 7 619 P BTO 2.66,-220,1,-72,625.45,11/5/2025,15:28:00,-152,Below Short/Long Ratio
Charle Bronson RIC ,10/31/2025,9:32:00,6866.43,1 Oct 31 6900 C BTO 3.75 | 1 Oct 31 6815 P BTO 4.20 | 1 Oct 31 6905 C STO 2.80 | 1 Oct 31 6810 P STO 3.70,-155,1,-160,6840.2,10/31/2025,16:00:00,0,Expired
In Harm's Way - ORB,10/30/2025,11:15:00,6875.36,1 Oct 30 6875 C BTO 13.90 | 1 Oct 30 6880 C STO 11.20,-290,1,-292.5,6822.34,10/30/2025,16:00:00,0,Expired
Charle Bronson RIC ,10/30/2025,9:32:00,6853.22,1 Oct 30 6900 C BTO 4.25 | 1 Oct 30 6795 P BTO 4.45 | 1 Oct 30 6905 C STO 3.35 | 1 Oct 30 6790 P STO 3.90,-155,1,-160,6822.34,10/30/2025,16:00:00,0,Expired
Charle Bronson RIC ,10/28/2025,9:32:00,6894.82,1 Oct 28 6910 C BTO 3.45 | 1 Oct 28 6875 P BTO 4.85 | 1 Oct 28 6915 C STO 2.35 | 1 Oct 28 6870 P STO 4.00,-205,1,-210,6890.89,10/28/2025,16:00:00,0,Expired
SAC 2/4,10/27/2025,15:45:00,627.47,1 Oct 29 619 P STO 1.12 | 1 Oct 29 635 C STO 0.83 | 1 Oct 31 619 P BTO 2.69 | 1 Oct 31 635 C BTO 2.39,-315,1,103,636.85,10/29/2025,10:00:00,-422,Below Delta
SAC 5/7,10/24/2025,15:00:00,617.86,1 Oct 29 627 C STO 0.96 | 1 Oct 29 607 P STO 1.64 | 1 Oct 31 627 C BTO 2.21 | 1 Oct 31 607 P BTO 2.91,-254,1,14,632.66,10/28/2025,13:38:00,-272,Below Delta
SAC The Longest Day,10/24/2025,12:00:00,617.34,1 Oct 31 596 P STO 1.62 | 1 Oct 31 632 C STO 1.00 | 1 Nov 21 596 P BTO 5.67 | 1 Nov 21 632 C BTO 6.12,-920,1,570,630.99,10/31/2025,15:48:00,-1494,Exited at Specified Time
In Harm's Way - ORB,10/24/2025,11:15:00,6796.73,1 Oct 24 6795 C BTO 10.45 | 1 Oct 24 6800 C STO 7.50,-315,1,-317.5,6791.69,10/24/2025,16:00:00,0,Expired
Charle Bronson RIC ,10/24/2025,9:32:00,6780.93,1 Oct 24 6805 C BTO 3.70 | 1 Oct 24 6740 P BTO 4.55 | 1 Oct 24 6810 C STO 2.65 | 1 Oct 24 6735 P STO 3.95,-175,1,-180,6791.69,10/24/2025,16:00:00,0,Expired
SAC The Longest Day,10/23/2025,12:00:00,609.17,1 Oct 30 588 P STO 1.72 | 1 Oct 30 624 C STO 1.05 | 1 Nov 21 588 P BTO 6.34 | 1 Nov 21 624 C BTO 6.64,-1024,1,-35,631.11,10/28/2025,9:32:00,-993,Call Tested
In Harm's Way - ORB,10/23/2025,11:15:00,6719.29,1 Oct 23 6715 C BTO 13.70 | 1 Oct 23 6720 C STO 10.60,-330,1,167.5,6738.44,10/23/2025,16:00:00,-500,Expired
SAC 2/4,10/20/2025,15:45:00,611.8,1 Oct 22 604 P STO 1.00 | 1 Oct 22 617 C STO 0.82 | 1 Oct 24 604 P BTO 2.31 | 1 Oct 24 617 C BTO 2.40,-291,1,-17,601.77,10/22/2025,13:25:00,-278,Above Delta
In Harm's Way - ORB,10/20/2025,11:15:00,6725.19,1 Oct 20 6725 C BTO 10.10 | 1 Oct 20 6730 C STO 7.35,-295,1,202.5,6735.13,10/20/2025,16:00:00,-500,Expired
SAC 5/7,10/17/2025,15:00:00,604.12,1 Oct 22 614 C STO 1.35 | 1 Oct 22 590 P STO 1.89 | 1 Oct 24 614 C BTO 2.74 | 1 Oct 24 590 P BTO 3.21,-273,1,-112,602.71,10/22/2025,14:40:00,-165,Below Short/Long Ratio
Early Morning Fishing,10/16/2025,10:43:00,6707.1,1 Oct 16 6695 P STO 11.10 | 1 Oct 16 6690 P BTO 9.75,130,1,-372.24,6629.07,10/16/2025,16:00:00,500,Expired
Charle Bronson RIC ,10/16/2025,9:32:00,6696.85,1 Oct 16 6730 C BTO 4.40 | 1 Oct 16 6640 P BTO 4.65 | 1 Oct 16 6735 C STO 3.30 | 1 Oct 16 6635 P STO 4.10,-175,1,320,6629.07,10/16/2025,16:00:00,-500,Expired
Charle Bronson RIC ,10/15/2025,9:32:00,6690,1 Oct 15 6720 C BTO 3.80 | 1 Oct 15 6640 P BTO 4.70 | 1 Oct 15 6725 C STO 2.80 | 1 Oct 15 6635 P STO 4.20,-160,1,-165,6671.06,10/15/2025,16:00:00,0,Expired
Early Morning Fishing,10/14/2025,11:52:00,6649.11,1 Oct 14 6640 P STO 11.20 | 1 Oct 14 6635 P BTO 9.60,155,1,152.76,6644.31,10/14/2025,16:00:00,0,Expired
SAC 2/4,10/13/2025,15:45:00,602.37,1 Oct 15 594 P STO 1.08 | 1 Oct 15 609 C STO 0.79 | 1 Oct 17 594 P BTO 2.34 | 1 Oct 17 609 C BTO 2.10,-259,1,45,602.48,10/15/2025,15:17:00,-308,Below Short/Long Ratio
SAC 5/7,10/10/2025,15:00:00,594,1 Oct 15 606 C STO 1.46 | 1 Oct 15 578 P STO 2.27 | 1 Oct 17 606 C BTO 2.55 | 1 Oct 17 578 P BTO 3.33,-217,1,59,602.37,10/15/2025,15:05:00,-280,Below Short/Long Ratio
SAC The Longest Day,10/10/2025,12:00:00,599.64,1 Oct 17 576 P STO 1.93 | 1 Oct 17 615 C STO 1.06 | 1 Nov 7 576 P BTO 6.76 | 1 Nov 7 615 C BTO 7.10,-1090,1,317,602.92,10/17/2025,14:04:00,-1411,Below Short/Long Ratio
Charle Bronson RIC ,10/7/2025,9:32:00,6751.13,1 Oct 7 6765 C BTO 3.50 | 1 Oct 7 6735 P BTO 4.50 | 1 Oct 7 6770 C STO 2.30 | 1 Oct 7 6730 P STO 3.55,-225,1,270,6714.59,10/7/2025,16:00:00,-500,Expired
SAC 5/7,10/3/2025,15:00:00,603.44,1 Oct 8 610 C STO 0.82 | 1 Oct 8 595 P STO 1.16 | 1 Oct 10 610 C BTO 1.81 | 1 Oct 10 595 P BTO 2.03,-188,1,48,610.55,10/8/2025,15:15:00,-240,Below Delta
Charle Bronson RIC ,10/3/2025,9:32:00,6731.25,1 Oct 3 6745 C BTO 4.45 | 1 Oct 3 6705 P BTO 4.20 | 1 Oct 3 6750 C STO 2.95 | 1 Oct 3 6700 P STO 3.55,-225,1,-230,6715.79,10/3/2025,16:00:00,0,Expired
Charle Bronson RIC ,10/2/2025,9:32:00,6729.15,1 Oct 2 6740 C BTO 4.30 | 1 Oct 2 6710 P BTO 4.10 | 1 Oct 2 6745 C STO 2.85 | 1 Oct 2 6705 P STO 3.25,-240,1,-245,6715.35,10/2/2025,16:00:00,0,Expired
Early Morning Fishing,10/1/2025,10:36:00,6683.85,1 Oct 1 6675 P STO 5.95 | 1 Oct 1 6670 P BTO 4.65,125,1,122.76,6711.2,10/1/2025,16:00:00,0,Expired
SAC 5/7,9/26/2025,15:00:00,596.03,1 Oct 1 603 C STO 1.01 | 1 Oct 1 587 P STO 1.29 | 1 Oct 3 603 C BTO 1.99 | 1 Oct 3 587 P BTO 2.10,-181,1,51,603.72,10/1/2025,15:07:00,-236,Below Delta
Charle Bronson RIC ,9/26/2025,9:32:00,6620.93,1 Sep 26 6645 C BTO 4.05 | 1 Sep 26 6590 P BTO 4.85 | 1 Sep 26 6650 C STO 3.05 | 1 Sep 26 6585 P STO 4.05,-190,1,-195,6643.7,9/26/2025,16:00:00,0,Expired
Charle Bronson RIC ,9/24/2025,9:32:00,6668.35,1 Sep 24 6680 C BTO 4.50 | 1 Sep 24 6650 P BTO 4.35 | 1 Sep 24 6685 C STO 3.05 | 1 Sep 24 6645 P STO 3.40,-250,1,245,6637.97,9/24/2025,16:00:00,-500,Expired
Charle Bronson RIC ,9/23/2025,9:32:00,6694.8,1 Sep 23 6705 C BTO 4.45 | 1 Sep 23 6680 P BTO 4.15 | 1 Sep 23 6710 C STO 3.05 | 1 Sep 23 6675 P STO 3.25,-240,1,255,6656.92,9/23/2025,16:00:00,-500,Expired
SAC 2/4,9/22/2025,15:45:00,602.08,1 Sep 24 596 P STO 0.77 | 1 Sep 24 607 C STO 0.51 | 1 Sep 26 596 P BTO 1.75 | 1 Sep 26 607 C BTO 1.60,-209,1,-34,594.15,9/24/2025,12:06:00,-179,Above Delta
SAC 5/7,9/19/2025,15:00:00,598.54,1 Sep 24 604 C STO 0.73 | 1 Sep 24 590 P STO 1.03 | 1 Sep 26 604 C BTO 1.64 | 1 Sep 26 590 P BTO 1.79,-169,1,-26,595.5,9/24/2025,15:40:00,-147,Exited at Specified Time
Charle Bronson RIC ,9/18/2025,9:32:00,6630.62,1 Sep 18 6655 C BTO 3.90 | 1 Sep 18 6595 P BTO 4.25 | 1 Sep 18 6660 C STO 2.90 | 1 Sep 18 6590 P STO 3.55,-180,1,-185,6631.96,9/18/2025,16:00:00,0,Expired
Charle Bronson RIC ,9/16/2025,9:32:00,6622.26,1 Sep 16 6635 C BTO 3.35 | 1 Sep 16 6610 P BTO 4.55 | 1 Sep 16 6640 C STO 2.20 | 1 Sep 16 6605 P STO 3.55,-225,1,94,6606.76,9/16/2025,16:00:00,-324,Expired
SAC 2/4,9/15/2025,15:45:00,590.83,1 Sep 17 584 P STO 1.03 | 1 Sep 17 596 C STO 0.79 | 1 Sep 19 584 P BTO 2.03 | 1 Sep 19 596 C BTO 1.94,-217,1,37,591.27,9/17/2025,15:30:00,-258,Exited at Specified Time
SAC 5/7,9/12/2025,15:00:00,587.75,1 Sep 17 595 C STO 0.73 | 1 Sep 17 580 P STO 1.18 | 1 Sep 19 595 C BTO 1.50 | 1 Sep 19 580 P BTO 1.95,-156,1,83,590.35,9/17/2025,15:34:00,-243,Below Short/Long Ratio
In Harm's Way - ORB,9/11/2025,11:15:00,6578.36,1 Sep 11 6575 C BTO 10.55 | 1 Sep 11 6580 C STO 7.40,-335,1,162.5,6587.47,9/11/2025,16:00:00,-500,Expired
Charle Bronson RIC ,9/11/2025,9:32:00,6554.27,1 Sep 11 6570 C BTO 4.45 | 1 Sep 11 6530 P BTO 4.85 | 1 Sep 11 6575 C STO 2.95 | 1 Sep 11 6525 P STO 4.10,-235,1,260,6587.47,9/11/2025,16:00:00,-500,Expired
Charle Bronson RIC ,9/10/2025,9:32:00,6538.5,1 Sep 10 6555 C BTO 3.65 | 1 Sep 10 6520 P BTO 4.55 | 1 Sep 10 6560 C STO 2.40 | 1 Sep 10 6515 P STO 3.70,-220,1,-225,6532.04,9/10/2025,16:00:00,0,Expired
SAC 2/4,9/8/2025,15:45:00,578.72,1 Sep 10 573 P STO 0.73 | 1 Sep 10 583 C STO 0.64 | 1 Sep 12 573 P BTO 1.82 | 1 Sep 12 583 C BTO 1.87,-234,1,12,579.58,9/10/2025,15:10:00,-250,Below Short/Long Ratio
SAC 5/7,9/5/2025,15:00:00,575.21,1 Sep 10 582 C STO 0.82 | 1 Sep 10 567 P STO 1.22 | 1 Sep 12 582 C BTO 1.82 | 1 Sep 12 567 P BTO 2.14,-194,1,15,579.02,9/10/2025,15:25:00,-213,Below Short/Long Ratio
Charle Bronson RIC ,9/5/2025,9:32:00,6531.74,1 Sep 5 6550 C BTO 4.50 | 1 Sep 5 6500 P BTO 4.35 | 1 Sep 5 6555 C STO 3.20 | 1 Sep 5 6495 P STO 3.70,-205,1,290,6481.5,9/5/2025,16:00:00,-500,Expired
Charle Bronson RIC ,9/4/2025,9:32:00,6456.32,1 Sep 4 6470 C BTO 4.20 | 1 Sep 4 6435 P BTO 4.35 | 1 Sep 4 6475 C STO 2.80 | 1 Sep 4 6430 P STO 3.55,-230,1,265,6502.08,9/4/2025,16:00:00,-500,Expired
Charle Bronson RIC ,9/3/2025,9:32:00,6437.49,1 Sep 3 6455 C BTO 4.30 | 1 Sep 3 6410 P BTO 4.40 | 1 Sep 3 6460 C STO 3.05 | 1 Sep 3 6405 P STO 3.65,-210,1,-215,6448.26,9/3/2025,16:00:00,0,Expired
SAC The Longest Day,9/2/2025,12:00:00,560.09,1 Sep 9 540 P STO 1.55 | 1 Sep 9 575 C STO 1.02 | 1 Sep 30 540 P BTO 6.29 | 1 Sep 30 575 C BTO 5.24,-899,1,-10,571.11,9/4/2025,10:32:00,-893,VIX Move Down
Charle Bronson RIC ,8/28/2025,9:32:00,6492.43,1 Aug 28 6510 C BTO 4.15 | 1 Aug 28 6470 P BTO 4.05 | 1 Aug 28 6515 C STO 3.05 | 1 Aug 28 6465 P STO 3.25,-200,1,-205,6501.86,8/28/2025,16:00:00,0,Expired
SAC 2/4,8/25/2025,15:45:00,571.56,1 Aug 27 565 P STO 0.97 | 1 Aug 27 578 C STO 0.72 | 1 Aug 29 565 P BTO 2.01 | 1 Aug 29 578 C BTO 1.73,-207,1,116,572.99,8/27/2025,15:30:00,-327,Exited at Specified Time
SAC 5/7,8/22/2025,15:00:00,572.47,1 Aug 27 580 C STO 1.00 | 1 Aug 27 564 P STO 1.31 | 1 Aug 29 580 C BTO 1.82 | 1 Aug 29 564 P BTO 2.14,-167,1,91,573.49,8/27/2025,15:40:00,-262,Exited at Specified Time
In Harm's Way - ORB,8/22/2025,11:15:00,6470.23,1 Aug 22 6470 C BTO 9.70 | 1 Aug 22 6475 C STO 7.05,-285,1,-287.5,6466.91,8/22/2025,16:00:00,0,Expired
Early Morning Fishing,8/22/2025,10:48:00,6473.4,1 Aug 22 6465 P STO 8.35 | 1 Aug 22 6460 P BTO 7.00,130,1,127.76,6466.91,8/22/2025,16:00:00,0,Expired
Charle Bronson RIC ,8/22/2025,9:32:00,6390.06,1 Aug 22 6445 C BTO 4.30 | 1 Aug 22 6310 P BTO 4.35 | 1 Aug 22 6450 C STO 3.45 | 1 Aug 22 6305 P STO 3.85,-145,1,350,6466.91,8/22/2025,16:00:00,-500,Expired
SAC The Longest Day,8/21/2025,12:00:00,563.02,1 Aug 28 545 P STO 1.58 | 1 Aug 28 578 C STO 1.01 | 1 Sep 19 545 P BTO 5.61 | 1 Sep 19 578 C BTO 5.14,-819,1,237,577.83,8/28/2025,15:48:00,-1060,Exited at Specified Time
Charle Bronson RIC ,8/19/2025,9:32:00,6442.23,1 Aug 19 6455 C BTO 3.50 | 1 Aug 19 6430 P BTO 4.75 | 1 Aug 19 6460 C STO 2.25 | 1 Aug 19 6425 P STO 3.60,-250,1,245,6411.37,8/19/2025,16:00:00,-500,Expired
SAC 2/4,8/18/2025,15:45:00,577.09,1 Aug 20 572 P STO 0.67 | 1 Aug 20 582 C STO 0.45 | 1 Aug 22 572 P BTO 1.85 | 1 Aug 22 582 C BTO 1.66,-241,1,-76,569.07,8/19/2025,13:06:00,-169,Above Delta
SAC 5/7,8/15/2025,15:00:00,577.38,1 Aug 20 584 C STO 0.65 | 1 Aug 20 570 P STO 0.99 | 1 Aug 22 584 C BTO 1.57 | 1 Aug 22 570 P BTO 1.84,-179,1,-28,566.41,8/20/2025,9:41:00,-155,Above Delta
Early Morning Fishing,8/14/2025,10:46:00,6468.27,1 Aug 14 6460 P STO 5.75 | 1 Aug 14 6455 P BTO 4.45,125,1,122.76,6468.54,8/14/2025,16:00:00,0,Expired
Charle Bronson RIC ,8/13/2025,9:32:00,6468.67,1 Aug 13 6480 C BTO 3.95 | 1 Aug 13 6455 P BTO 5.00 | 1 Aug 13 6485 C STO 2.55 | 1 Aug 13 6450 P STO 3.95,-255,1,-260,6466.58,8/13/2025,16:00:00,0,Expired
In Harm's Way - ORB,8/12/2025,11:15:00,6423.79,1 Aug 12 6420 C BTO 10.40 | 1 Aug 12 6425 C STO 7.45,-315,1,182.5,6445.76,8/12/2025,16:00:00,-500,Expired
Early Morning Fishing,8/12/2025,10:54:00,6418.47,1 Aug 12 6410 P STO 6.30 | 1 Aug 12 6405 P BTO 4.95,130,1,127.76,6445.76,8/12/2025,16:00:00,0,Expired
Charle Bronson RIC ,8/12/2025,9:32:00,6398.71,1 Aug 12 6420 C BTO 3.95 | 1 Aug 12 6370 P BTO 4.50 | 1 Aug 12 6425 C STO 2.85 | 1 Aug 12 6365 P STO 3.70,-200,1,295,6445.76,8/12/2025,16:00:00,-500,Expired
SAC 2/4,8/11/2025,15:45:00,573.07,1 Aug 13 566 P STO 0.92 | 1 Aug 13 579 C STO 0.77 | 1 Aug 15 566 P BTO 1.78 | 1 Aug 15 579 C BTO 1.68,-179,1,-3,580.06,8/12/2025,15:37:00,-180,Below Delta
SAC 5/7,8/8/2025,15:00:00,574.46,1 Aug 13 582 C STO 0.77 | 1 Aug 13 566 P STO 1.15 | 1 Aug 15 582 C BTO 1.44 | 1 Aug 15 566 P BTO 1.82,-136,1,37,579.7,8/13/2025,15:40:00,-177,Exited at Specified Time
In Harm's Way - ORB,8/8/2025,11:15:00,6382.04,1 Aug 8 6380 C BTO 9.85 | 1 Aug 8 6385 C STO 6.95,-310,1,187.5,6389.45,8/8/2025,16:00:00,-500,Expired
Charle Bronson RIC ,8/8/2025,9:32:00,6361.4,1 Aug 8 6380 C BTO 4.50 | 1 Aug 8 6335 P BTO 4.20 | 1 Aug 8 6385 C STO 3.20 | 1 Aug 8 6330 P STO 3.45,-215,1,280,6389.45,8/8/2025,16:00:00,-500,Expired
Charle Bronson RIC ,8/7/2025,9:32:00,6380.33,1 Aug 7 6400 C BTO 3.70 | 1 Aug 7 6355 P BTO 4.70 | 1 Aug 7 6405 C STO 2.55 | 1 Aug 7 6350 P STO 3.95,-200,1,295,6340,8/7/2025,16:00:00,-500,Expired
Early Morning Fishing,8/6/2025,10:57:00,6327.89,1 Aug 6 6320 P STO 6.50 | 1 Aug 6 6315 P BTO 5.20,125,1,122.76,6345.06,8/6/2025,16:00:00,0,Expired
Charle Bronson RIC ,8/6/2025,9:32:00,6310.54,1 Aug 6 6330 C BTO 4.55 | 1 Aug 6 6280 P BTO 4.75 | 1 Aug 6 6335 C STO 3.25 | 1 Aug 6 6275 P STO 4.00,-215,1,280,6345.06,8/6/2025,16:00:00,-500,Expired
